"Database","Connectivity From","Connectivity To","Projection Strength","Organism","Notes","Reference","database","con_from_abb","con_from","con_from_id","con_to_abb","con_to","projection_strength","notes","con_to_id","link","species","ref_link","reference","nifid","species_id","pmid","v_uuid"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=hdg-CA3 (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","hilus of dentate gyrus","ca 3 field","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=hdg-CA3 (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","hilus of dentate gyrus","birnlex_1482","","ca 3 field","exists","","birnlex_1204","http://www.unidesign.ch/wiki/index.php?title=hdg-CA3 (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=hdg-CA3 (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","b82b70ce-df75-5f5c-a19e-68a31dea45ed"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-CN8 (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","vestibulocochlear nerve","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-CN8 (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","vestibulocochlear nerve","exists","","birnlex_890","http://www.unidesign.ch/wiki/index.php?title=lpgN-CN8 (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-CN8 (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","f5fa7430-ee1d-5726-9dcc-cf044fec7ae1"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=LGN-MT (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral geniculate body","middle temporal cortex (occipital)","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=LGN-MT (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral geniculate body","birnlex_1662","","middle temporal cortex (occipital)","exists","","nlx_anat_20090308","http://www.unidesign.ch/wiki/index.php?title=LGN-MT (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=LGN-MT (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","7ac2b676-3cd1-5371-9faa-ddb535601e67"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=LGN-V1 (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral geniculate body","visual area 1","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=LGN-V1 (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral geniculate body","birnlex_1662","","visual area 1","exists","","","http://www.unidesign.ch/wiki/index.php?title=LGN-V1 (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=LGN-V1 (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","ed30a946-e1b8-5731-962f-11335562e9d8"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-CNC (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","cochlear nuclear complex","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-CNC (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","cochlear nuclear complex","exists","","birnlex_1151","http://www.unidesign.ch/wiki/index.php?title=lpgN-CNC (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-CNC (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","f0ea6079-d4fb-5cdb-9f09-8a37a404f750"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=CNC-icp (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","cochlear nuclear complex","inferior cerebellar peduncle","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=CNC-icp (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","cochlear nuclear complex","birnlex_1151","","inferior cerebellar peduncle","exists","","birnlex_1691","http://www.unidesign.ch/wiki/index.php?title=CNC-icp (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=CNC-icp (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","1289a12e-ba56-5bf5-a90a-bd2c56388e5b"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=DG-CA2 (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","dentate gyrus","ca 2 field","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=DG-CA2 (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","dentate gyrus","birnlex_1178","","ca 2 field","exists","","birnlex_1362","http://www.unidesign.ch/wiki/index.php?title=DG-CA2 (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=DG-CA2 (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","62255432-109a-57c6-b019-74a043c358de"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-NRP (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","nucleus raphe pallidus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-NRP (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","nucleus raphe pallidus","exists","","birnlex_1375","http://www.unidesign.ch/wiki/index.php?title=lpgN-NRP (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-NRP (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","ec3872bd-1ea7-5715-b717-6880ae47999d"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=Ent-Subi (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","entorhinal cortex","subiculum","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=Ent-Subi (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","entorhinal cortex","birnlex_1508","","subiculum","exists","","birnlex_1305","http://www.unidesign.ch/wiki/index.php?title=Ent-Subi (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=Ent-Subi (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","ea763cd9-ea9e-5b74-9dc3-34338f8d83eb"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNl (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","lateral parabrachial nucleus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNl (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","lateral parabrachial nucleus","exists","","birnlex_897","http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNl (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNl (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","72fbaef2-0077-5569-90cf-f40fef0b56ee"
